score_bin,customers,avg_predicted_pd,observed_default_rate,prediction_error,brier_score
1,3000,0.004970907684528196,0.004333333333333333,0.0006375743511948632,0.048668288729866296
2,3000,0.007238290480314345,0.004666666666666667,0.002571623813647678,0.048668288729866296
3,3000,0.00967048746240506,0.008666666666666666,0.0010038207957383943,0.048668288729866296
4,3000,0.012794914162004732,0.012,0.0007949141620047315,0.048668288729866296
5,3000,0.017824274957794848,0.018666666666666668,-0.0008423917088718202,0.048668288729866296
6,3000,0.026358331365071545,0.02266666666666667,0.0036916646984048763,0.048668288729866296
7,3000,0.04038762965791514,0.04033333333333333,5.4296324581808164e-05,0.048668288729866296
8,3000,0.0649380249788292,0.067,-0.0020619750211708088,0.048668288729866296
9,3000,0.11850790073563117,0.121,-0.00249209926436883,0.048668288729866296
10,3000,0.36792517542669756,0.369,-0.0010748245733024353,0.048668288729866296
