risk_decile,customers,bads,avg_risk_score,min_risk_score,max_risk_score,default_rate,goods,customer_share,bad_share,cumulative_customers,cumulative_bads,cumulative_customer_share,cumulative_bad_capture_rate,lift,cumulative_lift
1,3000,1107,0.36792517542669756,0.18172028596869963,0.8442732392312853,0.369,1893,0.1,0.5521197007481297,3000,1107,0.1,0.5521197007481297,5.521197007481297,5.521197007481296
2,3000,363,0.11850790073563117,0.08332750501829686,0.1816774400046414,0.121,2637,0.1,0.18104738154613467,6000,1470,0.2,0.7331670822942643,1.8104738154613467,3.6658354114713214
3,3000,201,0.0649380249788292,0.05038049592200048,0.08331194147341171,0.067,2799,0.1,0.1002493765586035,9000,1671,0.3,0.8334164588528679,1.002493765586035,2.778054862842893
4,3000,121,0.04038762965791514,0.032183885085473124,0.050372168237036205,0.04033333333333333,2879,0.1,0.06034912718204489,12000,1792,0.4,0.8937655860349127,0.6034912718204489,2.2344139650872816
5,3000,68,0.026358331365071545,0.02132933503908138,0.03217923367087249,0.02266666666666667,2932,0.1,0.03391521197007481,15000,1860,0.5,0.9276807980049875,0.33915211970074816,1.855361596009975
6,3000,56,0.017824274957794848,0.014852146081275797,0.021328729960731343,0.018666666666666668,2944,0.1,0.027930174563591023,18000,1916,0.6,0.9556109725685785,0.27930174563591026,1.5926849542809642
7,3000,36,0.012794914162004732,0.011019214117677846,0.014852146081275797,0.012,2964,0.1,0.017955112219451373,21000,1952,0.7,0.97356608478803,0.17955112219451375,1.3908086925543286
8,3000,26,0.00967048746240506,0.008403522092460357,0.011017634149298565,0.008666666666666666,2974,0.1,0.012967581047381545,24000,1978,0.8,0.9865336658354115,0.12967581047381546,1.2331670822942642
9,3000,14,0.007238290480314345,0.00608738950053623,0.008403261503063803,0.004666666666666667,2986,0.1,0.006982543640897756,27000,1992,0.9,0.9935162094763093,0.06982543640897756,1.1039068994181214
10,3000,13,0.004970907684528196,0.0033847434706565614,0.006086985475863297,0.004333333333333333,2987,0.1,0.006483790523690773,30000,2005,1.0,1.0,0.06483790523690773,1.0
