feature,importance_mean,importance_std
total_past_due_events,0.10654449357117454,0.002748220622029722
RevolvingUtilizationOfUnsecuredLines,0.04919909877860795,0.004778646478169659
age,0.010201622876116012,0.0033096710933718386
NumberOfOpenCreditLinesAndLoans,0.007237891955074516,0.0016217686448683148
MonthlyIncome,0.0044777828598533635,0.0012727110106768515
DebtRatio,0.004349714556758366,0.0022671967926265317
estimated_monthly_debt,0.003705578424895428,0.0013574078562580945
NumberRealEstateLoansOrLines,0.003668377632091735,0.0008779227196309455
NumberOfTimes90DaysLate,0.0025411732818350517,0.0003396882053493655
NumberOfDependents,0.00134498822652509,0.0005037803425448725
NumberOfTime30-59DaysPastDueNotWorse,0.0007860276803714373,0.0005935828237805941
NumberOfTime60-89DaysPastDueNotWorse,0.000560315766292363,0.00021529436771673961
high_credit_utilization,9.303586251296903e-05,0.00022534193601037616
dependents_missing,2.1141434161719986e-05,3.108273538610873e-05
age_band,6.0984906236294375e-06,0.00010394083473499747
debt_to_income_ratio,0.0,0.0
payment_burden_proxy,0.0,0.0
has_past_due,0.0,0.0
credit_utilization,0.0,0.0
income_band,0.0,0.0
monthly_income_missing,-0.0005368026968880057,0.0005805906296876742
