segment,segment_value,customers,actual_default_rate,avg_risk_score
has_past_due,0.0,23945,0.026769680517853413,0.028288486324589975
has_past_due,1.0,6055,0.22526837324525187,0.22039306452374374
high_credit_utilization,0.0,24860,0.03712791633145615,0.03759640010289376
high_credit_utilization,1.0,5140,0.2105058365758755,0.20957223816646625
income_band,1.0,3510,0.09088319088319088,0.08618048858391077
income_band,2.0,7482,0.08580593424218123,0.08507473544081166
income_band,3.0,15308,0.05787823360334465,0.05862801887641616
income_band,4.0,3257,0.0420632483880872,0.04629318822809431
income_band,5.0,443,0.04740406320541761,0.05546387859325962
age_band,1.0,2124,0.1285310734463277,0.11947427363505209
age_band,2.0,8129,0.09496863082790011,0.09348740711734993
age_band,3.0,10721,0.06659826508721202,0.06807871976473788
age_band,4.0,6999,0.03029004143449064,0.03286800289046958
age_band,5.0,2027,0.016773556980759743,0.018850623703816412
