risk_decile,customers,bads,avg_risk_score,default_rate,cumulative_bad_capture_rate
1,3000,1023,0.2629991061691093,0.341,0.5102244389027432
2,3000,342,0.10220931202726732,0.114,0.6807980049875312
3,3000,159,0.048390860613368884,0.053,0.7600997506234414
4,3000,122,0.04006396268730466,0.04066666666666666,0.8209476309226933
5,3000,101,0.0337935877231218,0.033666666666666664,0.8713216957605985
6,3000,95,0.03111102933127645,0.03166666666666667,0.9187032418952619
7,3000,72,0.029093276657564938,0.024,0.9546134663341646
8,3000,23,0.026199364390390226,0.007666666666666666,0.9660847880299251
9,3000,33,0.023769142051730252,0.011,0.9825436408977556
10,3000,35,0.01934580048726275,0.011666666666666667,1.0
