feature,bin,total,bad,good,event_rate,woe,points
total_past_due_events,0,95692,2623,93069,0.02741085984199306,0.9329939744304222,53.17421745821331
total_past_due_events,1,13778,1675,12103,0.12157061982871244,-0.658460208528412,-37.52768750435415
total_past_due_events,2,4798,1148,3650,0.23926636098374324,-1.4794358459407302,-84.31763285025887
total_past_due_events,3,2303,803,1500,0.34867564046895355,-2.0112667676048632,-114.62832493895635
total_past_due_events,4,1265,542,723,0.42845849802371544,-2.3479307866507937,-133.81585052831846
total_past_due_events,5,761,389,372,0.5111695137976346,-2.6804700747989063,-152.76829492345198
total_past_due_events,6,1403,841,562,0.5994297933000713,-3.038638126860003,-173.1814019839861
credit_utilization,"(-0.001, 0.0191]",24000,461,23539,0.019208333333333334,1.2959941427810724,55.77211859551875
credit_utilization,"(0.0191, 0.0826]",24000,411,23589,0.017125,1.4127890132152754,60.798296685511076
credit_utilization,"(0.0826, 0.271]",24000,697,23303,0.029041666666666667,0.8728973857465578,37.56447264113847
credit_utilization,"(0.271, 0.696]",24000,1673,22327,0.06970833333333333,-0.045057082516245975,-1.9389971503047485
credit_utilization,"(0.696, 1.093]",24000,4779,19221,0.199125,-1.2442654377432165,-53.546013262995444
age,"(23.999, 39.0]",25636,2662,22974,0.10383835231705414,-0.48083956923914795,-14.024440757112945
age,"(39.0, 48.0]",24390,2036,22354,0.08347683476834768,-0.24016394845441597,-7.004758515242139
age,"(48.0, 56.0]",23268,1681,21587,0.07224514354478254,-0.08353075214829608,-2.4363054953121503
age,"(56.0, 65.0]",23856,1079,22777,0.04522971160295104,0.41331629221024563,12.055018398806608
age,"(65.0, 87.0]",22850,563,22287,0.02463894967177243,1.041654985268659,30.38150261503539
MonthlyIncome,"(-0.001, 3000.0]",20155,1827,18328,0.09064748201438849,-0.33039278063306815,-1.8009700919141856
MonthlyIncome,"(3000.0, 4516.0]",18379,1574,16805,0.08564122095870287,-0.2681326412086201,-1.4615902519340638
MonthlyIncome,"(4516.0, 6300.0]",19385,1367,18018,0.07051844209440289,-0.05748634087584696,-0.31335787789493286
MonthlyIncome,"(6300.0, 9070.0]",19142,1059,18083,0.05532337268832933,0.2013017281398107,1.0972951380347253
MonthlyIncome,"(9070.0, 25000.0]",19264,875,18389,0.045421511627906974,0.40883888337951474,2.228579571161497
MonthlyIncome,Missing,23675,1319,22356,0.05571277719112988,0.1939631361228174,1.0572924941693216
NumberRealEstateLoansOrLines,0,44900,3740,41160,0.08329621380846325,-0.2376991771449332,-11.754091341516315
NumberRealEstateLoansOrLines,1,41928,2190,39738,0.05223239839725243,0.2622317193718347,12.967211831196366
NumberRealEstateLoansOrLines,2,25254,1406,23848,0.05567434861804071,0.19465802990405598,9.625730687560607
NumberRealEstateLoansOrLines,3,5011,349,4662,0.06964677709040112,-0.04515544114469976,-2.2329113047692295
NumberRealEstateLoansOrLines,4,2907,336,2571,0.11558307533539731,-0.6023124272927176,-29.784012597621718
income_band,1.0,14601,1253,13348,0.08581603999726047,-0.2704945630562274,-2.037312439304108
income_band,2.0,30266,2599,27667,0.08587193550518733,-0.2710196231077359,-2.0412670894909133
income_band,3.0,60514,3535,56979,0.058416234259840695,0.14387787853742237,1.0836601977247313
income_band,4.0,12959,543,12416,0.04190138127941971,0.4927928622465471,3.7116199930660776
income_band,5.0,1660,91,1569,0.054819277108433734,0.20621446057762668,1.5531672095451876
debt_to_income_ratio,"(-0.001, 0.134]",24000,1481,22519,0.06170833333333333,0.08536756908394358,4.630815102933202
debt_to_income_ratio,"(0.134, 0.287]",24000,1374,22626,0.05725,0.16507281368482393,8.954474010425324
debt_to_income_ratio,"(0.287, 0.467]",24000,1473,22527,0.061375,0.09113731850853703,4.943798628905161
debt_to_income_ratio,"(0.467, 3.66]",24000,2382,21618,0.09925,-0.43055987036849674,-23.355978995475574
debt_to_income_ratio,"(3.66, 4979.04]",24000,1311,22689,0.054625,0.21477179866198548,11.650425326625767
NumberOfOpenCreditLinesAndLoans,"(-0.001, 4.0]",26907,2505,24402,0.09309845021741554,-0.35976167277356524,-3.1926961142145194
NumberOfOpenCreditLinesAndLoans,"(4.0, 6.0]",21165,1243,19922,0.05872903378218757,0.13796081860553797,1.2243298906189657
NumberOfOpenCreditLinesAndLoans,"(6.0, 9.0]",29677,1632,28045,0.05499208140984601,0.20775666569994652,1.843731418549049
NumberOfOpenCreditLinesAndLoans,"(9.0, 12.0]",20029,1194,18835,0.05961356033751061,0.12205675590835816,1.083189677482729
NumberOfOpenCreditLinesAndLoans,"(12.0, 24.0]",22222,1447,20775,0.06511565115651156,0.027977533952666077,0.24828593676292565
