feature,bin,total,bad,good,bad_dist,good_dist,woe,event_rate
total_past_due_events,0,95692,2623,93069,0.3269362577107608,0.8311075391244168,0.9329939744304222,0.02741085984199306
total_past_due_events,1,13778,1675,12103,0.20879805595364198,0.10808385238764985,-0.658460208528412,0.12157061982871244
total_past_due_events,2,4798,1148,3650,0.14312418219203688,0.03259884356930771,-1.4794358459407302,0.23926636098374324
total_past_due_events,3,2303,803,1500,0.10013084927409807,0.0133994150871788,-2.0112667676048632,0.34867564046895355
total_past_due_events,4,1265,542,723,0.06760545828400523,0.0064608309334047735,-2.3479307866507937,0.42845849802371544
total_past_due_events,5,761,389,372,0.0485388497725715,0.0033264126091130312,-2.6804700747989063,0.5111695137976346
total_past_due_events,6,1403,841,562,0.10486634681288554,0.005023106288929074,-3.038638126860003,0.5994297933000713
credit_utilization,"(-0.001, 0.0191]",24000,461,23539,0.05751853929083318,0.21020882913695565,1.2959941427810724,0.019208333333333334
credit_utilization,"(0.0191, 0.0826]",24000,411,23589,0.05128684489312644,0.21065533146100027,1.4127890132152754,0.017125
credit_utilization,"(0.0826, 0.271]",24000,697,23303,0.08693213684800898,0.20810133816746515,0.8728973857465578,0.029041666666666667
credit_utilization,"(0.271, 0.696]",24000,1673,22327,0.20857481149124446,0.19938561280211464,-0.045057082516245975,0.06970833333333333
credit_utilization,"(0.696, 1.093]",24000,4779,19221,0.5956876674767869,0.17164888843246429,-1.2442654377432165,0.199125
age,"(23.999, 39.0]",25636,2662,22974,0.3318377266778837,0.20516335287525173,-0.48083956923914795,0.10383835231705414
age,"(39.0, 48.0]",24390,2036,22354,0.25381691281859536,0.19962672405709872,-0.24016394845441597,0.08347683476834768
age,"(48.0, 56.0]",23268,1681,21587,0.20957188259487755,0.1927773784062546,-0.08353075214829608,0.07224514354478254
age,"(56.0, 65.0]",23856,1079,22777,0.13454228204648844,0.203404133718516,0.41331629221024563,0.04522971160295104
age,"(65.0, 87.0]",22850,563,22287,0.07023119586215491,0.19902841094287896,1.041654985268659,0.02463894967177243
MonthlyIncome,"(-0.001, 3000.0]",20155,1827,18328,0.2277542372881356,0.16367362611848332,-0.33039278063306815,0.09064748201438849
MonthlyIncome,"(3000.0, 4516.0]",18379,1574,16805,0.19622382851445663,0.15007322605418727,-0.2681326412086201,0.08564122095870287
MonthlyIncome,"(4516.0, 6300.0]",19385,1367,18018,0.17042622133599203,0.16090532406993982,-0.05748634087584696,0.07051844209440289
MonthlyIncome,"(6300.0, 9070.0]",19142,1059,18083,0.13204137587238285,0.16148577449947313,0.2013017281398107,0.05532337268832933
MonthlyIncome,"(9070.0, 25000.0]",19264,875,18389,0.10911016949152542,0.1642183565215838,0.40883888337951474,0.045421511627906974
MonthlyIncome,Missing,23675,1319,22356,0.16444416749750748,0.19964369273633262,0.1939631361228174,0.05571277719112988
NumberRealEstateLoansOrLines,0,44900,3740,41160,0.466193057892441,0.3675651781767524,-0.2376991771449332,0.08329621380846325
NumberRealEstateLoansOrLines,1,41928,2190,39738,0.2730105315635321,0.3548666520809241,0.2622317193718347,0.05223239839725243
NumberRealEstateLoansOrLines,2,25254,1406,23848,0.1752975634074905,0.21296821349955128,0.19465802990405598,0.05567434861804071
NumberRealEstateLoansOrLines,3,5011,349,4662,0.043559543839970086,0.04163634171715864,-0.04515544114469976,0.06964677709040112
NumberRealEstateLoansOrLines,4,2907,336,2571,0.04193930329656634,0.022963614525613605,-0.6023124272927176,0.11558307533539731
income_band,1.0,14601,1253,13348,0.1562285785505079,0.11920272545018597,-0.2704945630562274,0.08581603999726047
income_band,2.0,30266,2599,27667,0.3239857917367732,0.24707206101007756,-0.2710196231077359,0.08587193550518733
income_band,3.0,60514,3535,56979,0.4406431108618433,0.5088295834579819,0.14387787853742237,0.058416234259840695
income_band,4.0,12959,543,12416,0.06773851810307223,0.11087992212999469,0.4927928622465471,0.04190138127941971
income_band,5.0,1660,91,1569,0.011404000747803327,0.014015707951759888,0.20621446057762668,0.054819277108433734
debt_to_income_ratio,"(-0.001, 0.134]",24000,1481,22519,0.1846451050040506,0.2011001817264459,0.08536756908394358,0.06170833333333333
debt_to_income_ratio,"(0.134, 0.287]",24000,1374,22626,0.1713092789929582,0.2020556966999013,0.16507281368482393,0.05725
debt_to_income_ratio,"(0.287, 0.467]",24000,1473,22527,0.18364803390041753,0.20117162209829303,0.09113731850853703,0.061375
debt_to_income_ratio,"(0.467, 3.66]",24000,2382,21618,0.296940238050726,0.19305420984716226,-0.43055987036849674,0.09925
debt_to_income_ratio,"(3.66, 4979.04]",24000,1311,22689,0.1634573440518477,0.2026182896281975,0.21477179866198548,0.054625
NumberOfOpenCreditLinesAndLoans,"(-0.001, 4.0]",26907,2505,24402,0.3122702062690846,0.2179154592499654,-0.35976167277356524,0.09309845021741554
NumberOfOpenCreditLinesAndLoans,"(4.0, 6.0]",21165,1243,19922,0.15498223967096653,0.17790885101556952,0.13796081860553797,0.05872903378218757
NumberOfOpenCreditLinesAndLoans,"(6.0, 9.0]",29677,1632,28045,0.20346482208512495,0.2504476185798547,0.20775666569994652,0.05499208140984601
NumberOfOpenCreditLinesAndLoans,"(9.0, 12.0]",20029,1194,18835,0.14887517916121393,0.16820189049084,0.12205675590835816,0.05961356033751061
NumberOfOpenCreditLinesAndLoans,"(12.0, 24.0]",22222,1447,20775,0.18040755281361,0.18552618066377036,0.027977533952666077,0.06511565115651156
