feature,bin,total,bad,good,bad_dist,good_dist,woe,iv_component,event_rate
RevolvingUtilizationOfUnsecuredLines,"(-0.001, 0.0191]",24000,461,23539,0.05751853929083318,0.21020882913695565,1.2959941427810724,0.197885721300119,0.019208333333333334
RevolvingUtilizationOfUnsecuredLines,"(0.0191, 0.0826]",24000,411,23589,0.05128684489312644,0.21065533146100027,1.4127890132152754,0.22515404687583834,0.017125
RevolvingUtilizationOfUnsecuredLines,"(0.0826, 0.271]",24000,697,23303,0.08693213684800898,0.20810133816746515,0.8728973857465578,0.10576827906475166,0.029041666666666667
RevolvingUtilizationOfUnsecuredLines,"(0.271, 0.696]",24000,1673,22327,0.20857481149124446,0.19938561280211464,-0.045057082516245975,0.0004140384835943016,0.06970833333333333
RevolvingUtilizationOfUnsecuredLines,"(0.696, 1.093]",24000,4779,19221,0.5956876674767869,0.17164888843246429,-1.2442654377432165,0.5276167970276832,0.199125
age,"(23.999, 39.0]",25636,2662,22974,0.3318377266778837,0.20516335287525173,-0.48083956923914795,0.06091005133289636,0.10383835231705414
age,"(39.0, 48.0]",24390,2036,22354,0.25381691281859536,0.19962672405709872,-0.24016394845441597,0.01301452970045115,0.08347683476834768
age,"(48.0, 56.0]",23268,1681,21587,0.20957188259487755,0.1927773784062546,-0.08353075214829608,0.0014028575668333832,0.07224514354478254
age,"(56.0, 65.0]",23856,1079,22777,0.13454228204648844,0.203404133718516,0.41331629221024563,0.02846172520781434,0.04522971160295104
age,"(65.0, 87.0]",22850,563,22287,0.07023119586215491,0.19902841094287896,1.041654985268659,0.13416226117755592,0.02463894967177243
NumberOfTime30-59DaysPastDueNotWorse,0,100794,4059,96735,0.50595126814981,0.8638525113523216,0.5349616931338368,0.1914634550383207,0.040270254181796535
NumberOfTime30-59DaysPastDueNotWorse,1,12844,1908,10936,0.23786377516046614,0.09766345333827463,-0.8901707176935957,0.12480222109733329,0.1485518530052943
NumberOfTime30-59DaysPastDueNotWorse,2,3689,979,2710,0.12207889325107497,0.024204890986457585,-1.6181127821071084,0.15837117410035748,0.2653835727839523
NumberOfTime30-59DaysPastDueNotWorse,3,1421,497,924,0.06200535925718203,0.008255827971584593,-2.016301449194374,0.10837525782466846,0.3497536945812808
NumberOfTime30-59DaysPastDueNotWorse,4,1252,578,674,0.07210070418146694,0.006023316351361609,-2.4824258144088267,0.16403221329815712,0.46166134185303515
DebtRatio,"(-0.001, 0.134]",24000,1481,22519,0.1846451050040506,0.2011001817264459,0.08536756908394358,0.0014047298988806723,0.06170833333333333
